cid,fname,lname,age,prof,city,salary,doj
1,John,Davis,45,Analyst,Toronto,26737,2023-09-07
2,Emma,Johnson,28,Consultant,Delhi,118354,2006-07-05
3,Paul,Johnson,51,Manager,Toronto,31623,2008-07-20
4,Lisa,Wilson,52,Analyst,London,39968,2014-03-21
5,Tom,Johnson,22,Analyst,New York,,2008-10-29
6,Sara,Williams,18,Engineer,Tokyo,61279,2013-09-17
7,Jane,Jones,42,Designer,Toronto,97525,2007-07-15
8,Paul,Wilson,55,Clerk,Toronto,111211,2000-04-06
9,John,Jones,59,Consultant,Berlin,36288,2024-06-07
10,Emma,Smith,41,Manager,Paris,86056,2016-07-07
11,Alex,Garcia,56,Manager,Tokyo,86442,2002-04-26
12,John,Wilson,35,Lead,Tokyo,116108,2012-03-20
13,Alex,Jones,39,Clerk,London,75656,2018-05-24
14,Alex,Williams,20,Consultant,Singapore,26074,2017-02-26
15,Mike,Taylor,51,Engineer,Singapore,25300,2008-08-09
16,Jane,Davis,35,Designer,Sydney,70869,2021-03-13
17,Tom,Brown,30,Clerk,Tokyo,90208,2017-01-11
18,Alex,Smith,45,Lead,Paris,36749,2021-08-26
19,Alex,Davis,53,Developer,Tokyo,86213,2001-02-15
20,Mike,Smith,30,Architect,Toronto,40521,2015-10-14
21,Sam,Miller,54,Engineer,Paris,48984,2014-05-13
22,Mike,Wilson,47,Analyst,Berlin,97515,2013-09-17
23,Sam,Garcia,42,Architect,London,91809,2018-07-30
24,Jane,Williams,32,Clerk,Dubai,32565,2007-04-11
25,Sam,Miller,59,Analyst,Toronto,26781,2019-03-23
26,Jane,Smith,46,Intern,London,72923,2020-01-13
27,Alex,Jones,29,Consultant,New York,67106,2010-09-16
28,Paul,Davis,58,Intern,London,60862,2011-12-24
29,Lisa,Wilson,57,Developer,Paris,79562,2010-07-10
30,Alex,Jones,36,Clerk,Delhi,59790,2006-09-19
31,John,Garcia,32,Manager,London,33871,2014-11-08
32,Sara,Davis,36,Analyst,Singapore,85793,2020-11-20
33,Mike,Taylor,60,Developer,Sydney,49765,2011-07-09
34,Sam,Wilson,54,Architect,Delhi,54544,2003-11-27
35,Emma,Davis,28,Engineer,Delhi,85523,2012-11-22
36,Paul,Davis,50,Intern,Sydney,97734,2013-01-08
37,Sara,Johnson,21,Developer,Berlin,78296,2024-05-02
38,John,Brown,40,Designer,Berlin,47869,2022-05-23
39,Sara,Jones,36,Consultant,London,99288,2004-08-04
40,Tom,Davis,19,Architect,Delhi,68906,2014-04-12
41,Emma,Brown,26,Designer,Toronto,95273,2001-08-11
42,Tom,Jones,53,Consultant,Sydney,27513,2015-01-18
43,Sara,Miller,54,Analyst,Sydney,109274,2003-10-19
44,Lisa,Jones,50,Consultant,New York,47367,2013-05-06
45,Sara,Williams,44,Developer,London,48062,2021-03-03
46,John,Brown,24,Consultant,London,110338,2000-12-04
47,Emma,Davis,57,Consultant,Delhi,64989,2022-08-03
48,Alex,Garcia,37,Engineer,Paris,91762,2024-12-18
49,Emma,Johnson,29,Lead,Tokyo,63679,2024-12-08
50,Jane,Davis,30,Engineer,New York,66778,2011-12-09
51,Alex,Smith,54,Manager,Toronto,118328,2014-12-21
52,Sam,Smith,34,Analyst,New York
53,Mike,Jones,26,Clerk,Berlin,27093,2009-04-19
54,Lisa,Jones,29,Developer,Tokyo,86529,2023-01-13
55,Paul,Johnson,48,Intern,Tokyo,44614,2009-11-18
56,Jane,Brown,56,Consultant,Sydney,47304,2010-12-01
57,Sara,Davis,35,Manager,Berlin,79844,2004-08-01
58,Jane,Miller,25,Lead,Toronto,40721,2022-04-09
59,Sara,Miller,48,Lead,New York,81422,2011-01-21
60,Sam,Garcia,54,Lead,Tokyo,74468,2000-04-14
61,Mike,Garcia,41,Intern,Paris,40327,2021-10-18
62,Paul,Taylor,45,Engineer,New York,108579,2003-11-08
63,Alex,Brown,34,Consultant,New York,29322,2021-06-18
64,Jane,Smith,43,Clerk,Singapore,102312,2023-07-26
65,Emma,Smith,21,Clerk,Singapore,63256,2003-07-18
66,Alex,Davis,41,Designer,New York,35262,2009-12-15
67,Tom,Taylor,59,Lead,Toronto,48374,2019-12-30
68,Jane,Smith,46,Architect,Dubai,65433,2017-08-07
69,Lisa,Garcia,20,Designer,Delhi,98363,2006-03-01
70,Tom,Taylor,38,Engineer,Delhi,46867,2009-07-18
71,Sara,Wilson,50,Designer,Singapore,72938,2016-05-25
72,Tom,Smith,21,Clerk,Sydney,38611,2001-12-25
73,Emma,Miller,27,Intern,Toronto,91097,2012-09-22
74,John,Williams,57,Intern,Berlin,105368,2000-10-17
75,Lisa,Davis,54,Intern,Paris,42528,2010-08-04
