cid,fname,lname,age,prof,city,salary,doj,gender,dept
1,John,Miller,45,Designer,Dubai,39429,2006-05-27,F,Design
2,Sam,Brown,55,Lead,Delhi,61634,2023-06-23,M,Leadership
3,Paul,Smith,19,Manager,Paris,76723,2006-08-07,F,Management
4,Jane,Garcia,22,Engineer,Berlin,38170,2003-10-25,M,Engineering
5,Alex,Smith,21,Manager,Toronto,118544,2009-04-15,F,Management
6,Sam,Williams,35,Manager,New York,53387,2005-01-20,F,Management
7,John,Garcia,19,Lead,Dubai,31072,2014-03-20,M,Leadership
8,Emma,Jones,25,Analyst,London,56226,2000-05-08,F,Analytics
9,Sara,Johnson,50,Designer,London,104768,2023-06-23,M,Design
10,Alex,Brown,55,Manager,Dubai,58552,2015-07-16,M,Management
11,John,Davis,32,Lead,New York,38465,2002-03-31,M,Leadership
12,Lisa,Taylor,41,Architect,London,66872,2008-08-10,M,Architecture
13,Tom,Brown,30,Architect,Sydney,97728,2001-01-17,F,Architecture
14,Alex,Miller,23,Clerk,Tokyo,90379,2012-01-24,F,Operations
15,Tom,Williams,28,Analyst,London,77012,2017-08-28,F,Analytics
16,Paul,Brown,43,Clerk,Delhi,99187,2002-10-24,M,Operations
17,Paul,Jones,29,Designer,Singapore,109605,2023-07-09,F,Design
18,John,Williams,36,Lead,Singapore,34415,2001-04-05,M,Leadership
19,Tom,Garcia,21,Analyst,Delhi,57058,2005-12-31,F,Analytics
20,Alex,Smith,20,Clerk,Singapore,95516,2016-05-28,M,Operations
21,John,Davis,32,Consultant,Delhi,77677,2002-07-27,F,Consulting
22,Jane,Garcia,40,Analyst,Paris,59738,2004-01-16,M,Analytics
23,Emma,Smith,47,Consultant,Sydney,29274,2023-05-28,F,Consulting
24,Mike,Wilson,25,Intern,London,80434,2008-11-14,F,Training
25,Emma,Johnson,29,Designer,Tokyo,92568,2011-12-05,F,Design
26,Lisa,Jones,40,Lead,Tokyo,110852,2010-02-13,M,Leadership
27,Sam,Brown,25,Developer,Berlin,76450,2022-09-14,F,Engineering
28,Jane,Johnson,37,Lead,Tokyo,84163,2006-04-18,F,Leadership
29,Jane,Wilson,52,Manager,Sydney,53722,2016-04-06,M,Management
30,John,Miller,34,Architect,Dubai,38215,2023-06-23,M,Architecture
31,Emma,Jones,44,Lead,Singapore,53636,2014-11-25,M,Leadership
32,Sam,Wilson,18,Clerk,New York,27807,2014-09-11,F,Operations
33,Emma,Taylor,35,Intern,Delhi,75585,2014-05-08,M,Training
34,Emma,Jones,19,Architect,Berlin,66712,2003-10-13,M,Architecture
35,Mike,Miller,39,Manager,Singapore,57467,2023-11-30,F,Management
